Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20
,Spain,40.0,-4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798,9942,11748,13910,17963,20410,25374,28768,35136,39885,49515,57786,65719,73235,80110,87956,95923,104118,112065,119199,126168,131646,136675,141942,148220,153222,158273,163027,166831,170099,172541,177644,184948,190839,191726,198674,200210,204178,208389,213024,213082,213140,213199,213258,213317,213376,213435,215216,216582,217466,218011,219329,220325,221447,222857,223578,224350,227436,228030,228691,229540,230183,230698,230698,231606,232037,232555,233037
,Madrid,,,0,0,0,0,0,0,0,0,0,4,13,19,26,29,33,37,46,54,56,66,74,83,98,109,122,136,155,169,181,203,230,259,303,360,410,478,572,734,841,1161,1542,1936,2398,3047,3831,4669,5718,7227,9198,11158,13488,16309,18851,21502,24450,27224,29849,32272,35360,37267,38906,41022,43002,44772,46316,47801,49047,49911,50990,52064,53403,54404,55333,56042,56675,57298,58044,58724,59361,60068,60639,61134,61514,62006,62509,63104,63492,63958,64222,64498,64973,65429,65797,66033,66163,66286,66469,66699,66911,67082,67273,67438,67509,67602,67767,67945,68105,68251,68355,68410,68496,68600,68733,68854,68966,69045,69091,69154,69240,69364,69450
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,23,24,24,24,26,31,33,38,40,41,41,41,42,42,42,42,42,42,42,42,42,46,57,85,146,201,332,503,679,839,1223,1847,2831,3725,4759,5746,8134,10863,11558,20403,25074,29825,37294,44820,54170,67098,81389,96161,109446,129956,148126,172216,200610,229778,259838,283479,309787,340070,370996,400603,431832,459276,483388,505379,529444,558151,584763,616303,639408,684743,703594,722473,746278,780656,804201,821347,844482,860052,877265,893861,911442,926363,939302,950262,962460,974119,983745,995617,1007956,1017970,1026668,1034265,1044713,1059714,1072223,1084182,1093140,1101294,1111414,1119476,1126972,1135006,1143279,1150318,1156543,1162221,1169105,1174629,1179464
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,25,26,26,26,29,34,36,41,43,44,44,44,45,45,45,45,45,45,62,104,197,275,379,539,803,1092,1464,2201,2727,3356,4335,5735,7507,9648,12190,14975,18380,23445,26830,38279,46465,54844,65599,76710,90343,108678,129143,150561,169646,195080,218692,248355,283314,318897,355350,384748,415611,450736,487205,522698,559733,593168,622925,649903,678757,713086,746174,784516,814782,867099,892150,917570,948308,990628,1022616,1048595,1081004,1103301,1128789,1154322,1179793,1204030,1225808,1245850,1266087,1286565,1304601,1325612,1347451,1369221,1389580,1408568,1429581,1456329,1481177,1504841,1524994,1543907,1565385,1584583,1602222,1620629,1639451,1655799,1671531,1685406,1701347,1714892,1728095
,Andalusia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,12,12,12,12,12,21,27,34,54,71,90,115,219,269,437,554,683,859,1008,1287,1515,1725,1961,2470,3008,3404,3790,4271,4676,5398,5809,6379,6957,7353,7847,8279,8559,8743,8973,9234,9482,9682,9976,10062,10283,10561,10773,11018,11168,11389,11518,11648,11879,12195,12449,12774,12972,13108,13195,13445,13624,13881,14128,14251,14311,14351,14593,14824,15002,15180,15355,15422,15522,15629,15823,16068,16263,16432,16457,16488,16501,16546
,Aragon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,30,38,45,64,80,121,147,207,226,281,360,424,532,638,758,907,1116,1338,1592,1858,2078,2272,2491,2700,2889,3078,3232,3347,3449,3549,3685,3831,3998,4125,4248,4332,4450,4566,4664,4761,4831,4886,4938,5054,5237,5295,5382,5456,5504,5557,5652,5971,6103,6164,6208,6239,6282,6382,6516,6575,6656,6702,6731,6797,6856,6943,7015,7125,7177,7201,7271,7302,7339
,Asturias,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,7,8,10,15,32,37,40,86,123,160,224,269,310,429,524,569,621,754,812,891,960,1037,1143,1206,1295,1367,1435,1504,1585,1640,1695,1718,1751,1831,1889,1943,2030,2084,2119,2194,2247,2319,2366,2391,2407,2449,2507,2559,2599,2642,2702,2735,2806,2871,2922,2973,2997,3019,3031,3059,3090,3103,3159,3185,3200,3216,3227,3252,3267,3300,3327,3344,3355,3358,3359,3359
,Balearic Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,5,6,6,6,8,11,13,16,22,28,28,42,73,92,112,169,203,246,331,400,478,562,660,755,862,958,1000,1069,1131,1204,1257,1271,1293,1320,1369,1412,1448,1488,1507,1534,1550,1571,1605,1636,1667,1747,1772,1787,1807,1834,1859,1876,1905,1915,1920,1938,1948,1953,1968,1980,1986,1987,1993,2009,2019,2025,2038,2051,2054,2054,2059,2060,2069,2085,2094,2096,2109,2122,2131
,Canary Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,6,6,6,7,7,7,7,8,11,11,17,22,25,37,51,70,90,109,119,148,181,220,287,348,414,481,557,657,784,878,1025,1125,1204,1262,1380,1444,1490,1564,1622,1649,1725,1762,1834,1858,1887,1918,1944,1958,1975,1988,2009,2035,2047,2067,2085,2094,2113,2140,2155,2167,2178,2187,2202,2205,2206,2212,2221,2225,2231,2231,2235,2240,2250,2258,2260,2268,2271,2275,2280,2284,2289,2294,2294,2300,2307
,Cantabria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,12,12,12,12,16,29,31,51,58,58,68,83,144,215,282,347,425,510,671,810,937,1023,1100,1171,1213,1268,1321,1384,1441,1483,1501,1572,1619,1659,1719,1752,1777,1796,1823,1845,1884,1990,2050,2083,2108,2160,2206,2273,2315,2330,2350,2386,2439,2505,2547,2577,2589,2596,2607,2626,2642,2665,2681,2684,2685,2691,2733,2739,2761,2770,2773,2774,2782,2787,2798
,Castile La Mancha,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,12,13,15,15,15,26,39,71,115,194,289,401,567,567,675,801,1044,1423,1819,2078,2465,2780,3383,3934,4512,5246,5858,6424,7047,7682,8523,9324,10031,10602,11077,11788,12489,13063,13456,13698,14054,14329,14680,15151,15997,16349,16625,16796,17045,17321,17557,18053,18525,18995,19286,19518,19795,20071,20516,21023,21290,21511,21656,22166,22567,22908,23293,23662,23869,24051,24185,24331,24527,24776,24908,25014,25074,25285,25423
,Castile & Leon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,8,11,11,14,14,22,23,56,71,92,169,223,292,334,431,668,868,1147,1466,1744,2055,2460,2940,3488,4132,4791,5414,5801,6211,6847,7355,7875,8332,8749,9116,9581,10058,10518,11102,11543,12118,12628,13180,13697,14380,14903,15293,15621,15857,16259,16839,17402,17776,18259,18684,19028,19372,19851,20312,20739,20999,21229,21379,21719,22156,22537,22926,23452,23821,23991,24170,24262,24379,24498,24595,24696,24746,24834,24876,24918
,Catalonia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,15,15,15,24,24,24,49,59,82,123,202,349,558,742,1017,1414,1866,2702,3270,4203,5046,5747,7864,9937,11592,12940,14263,15025,16104,18520,19991,21804,23460,24734,26032,26824,28323,29647,31043,31824,32984,34027,34726,35197,36505,37354,38316,40095,40600,42703,44139,44829,45919,46571,47288,47838,48782,49185,49681,49943,50334,50877,51261,51393,51798,52090,52505,53209,53578,53805,56450,56787,56930,56956,57205,57328,57467,57564,57564,57564,57564
,Ceuta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,6,6,9,10,17,17,21,25,34,51,55,62,73,83,83,83,84,84,91,93,93,95,96,98,100,101,111,112,114,114,124,124,125,125,131,131,134,139,146,151,152,152,152,155,164,165,168,169,169,169,173,173,175,175,175,175,175,176,178,178
,Valencian Community,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,10,15,15,15,19,19,30,30,37,37,50,65,76,94,130,409,409,541,726,921,1105,1363,1604,1901,2167,2616,3200,3532,4034,4784,5110,5508,5922,6308,6624,6901,7184,7334,7443,7655,7964,8331,8578,8841,9060,9213,9424,9615,9783,10117,10250,10339,10399,10571,10735,10906,11123,11372,11412,11658,11816,12058,12209,12655,12813,12958,13000,13186,13413,13613,13775,13897,13928,13990,14101,14202,14438,14571,14701,14736,14737,14759,14797
,Extremadura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,7,8,9,19,39,66,95,111,153,194,241,297,354,384,493,636,742,969,1231,1394,1456,1560,1628,1679,1837,1893,1979,2047,2068,2116,2184,2273,2332,2486,2580,2658,2684,2762,2881,3019,3131,3192,3243,3243,3243,3366,3403,3458,3465,3480,3487,3513,3538,3630,3690,3712,3722,3728,3746,3808,3853,3886,3903,3919,3920,3922,3926,3934,3945,3948,3949,4039,4041,4043
,Galicia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,6,22,35,35,85,115,195,245,292,341,453,578,739,915,1208,1415,1653,1915,2322,2772,3139,3723,4039,4432,4842,5219,5625,5944,6151,6331,6538,6758,6946,7176,7336,7494,7597,7708,7873,8013,8084,8185,8299,8468,8634,8805,8932,9116,9176,9238,9328,9484,9579,9617,9652,9685,9707,9783,9996,10077,10221,10322,10370,10388,10449,10495,10545,10605,10934,10960,10982,11024,11081,11103
,Melilla,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,17,20,23,24,25,25,28,28,38,39,42,45,48,51,54,62,62,70,79,83,86,92,93,93,95,98,98,101,101,102,103,104,104,107,109,110,111,113,116,118,121,121,125,125,125,126,126,129,131,131,131,132,132,132,132,132,132,132,132,132,132,134,134,134,134,134
,Murcia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,11,26,35,47,71,77,97,122,167,204,240,296,345,385,477,596,714,802,872,939,974,1041,1084,1145,1188,1235,1259,1263,1305,1340,1367,1404,1436,1452,1479,1528,1590,1626,1647,1653,1659,1696,1717,1721,1741,1756,1771,1771,1793,1840,1894,1960,1966,1974,1974,2051,2133,2192,2252,2263,2329,2332,2333,2398,2437,2477,2546,2566,2595,2597,2599,2609
,Navarre,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,12,46,73,130,146,183,274,313,386,482,554,664,794,886,1014,1197,1411,1641,1829,2011,2146,2305,2497,2682,2836,2972,3073,3231,3355,3467,3575,3748,3817,3969,4092,4150,4246,4348,4433,4579,4656,4735,4831,4958,5063,5180,5274,5452,5486,5630,5884,6140,6337,6411,6427,6447,6561,6770,7010,7227,7442,7455,7486,7637,7752,7891,8082,8235,8293,8335,8340,8349,8352
,Basque Autonomy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,13,17,17,45,45,70,149,195,225,346,417,521,630,630,765,973,1190,1465,1725,2097,2421,2728,3271,3946,4601,5136,5740,6057,6320,6838,7317,7827,8187,8628,8810,9021,9452,9806,10103,10515,10772,11018,11226,11475,11790,12089,12355,12569,12628,12810,13044,13436,13780,14132,14315,14412,14804,15138,15519,15969,16131,16203,16250,16448,16692,16972,17289,17603,17714,17745,17895,18141,18184,18213,18564,18690,18729,18744,18770,18779
,Rioja,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,17,29,47,70,102,155,185,220,259,292,300,312,355,419,468,497,564,654,747,802,928,995,1236,1436,1629,1733,1810,1960,2083,2224,2405,2592,2719,2846,2951,3026,3076,3496,3596,3675,3749,3831,3916,4098,4250,4330,4371,4483,4586,4727,4865,4946,4998,5041,5097,5173,5206,5226,5239,5247,5258,5270,5322,5330,5355,5365,5378,5382,5392,5397,5405,5409,5413,5417,5417,5422,5428,5428
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19882,23892,27635,30794,34391,37120,40150,42762,44802,45221,60368,66885,69030,71224,73258,75136,75639,76197,76819,78572,78958,79525,80372,81346,82704,84070,85967,88325,90262,92795,95075,97844,101762,105783,109755,113539,118377,125706,130911,145206,156285,167024,181452,196917,216165,243089,272699,304852,337603,378387,418589,468246,530165,594216,661572,720719,783610,858349,933919,1014735,1097207,1177450,1251126,1322797,1397538,1481491,1567424,1659675,1737825,1836644,1906715,1977330,2057593,2153579,2242538,2319072,2399452,2472264,2546920,2625017,2711636,2809157,2891655,2963920,3031014,3104184,3180028,3263636,3351957,3433145,3511969,3587927,3668685,3760883,3853614,3948312,4033492,4110959,4187678,4270361,4355709,4453227,4549762,4641922,4722208,4810380,4906419,5007567,5112709
